車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0846,1234567,19:50,19:42,19:32,19:20,19:08,18:56,18:36,18:24,18:12,18:00,17:41,17:25
0857,1234567,20:00,20:11,20:19,20:34,20:47,20:58,21:17,21:30,21:41,21:55,22:13,22:25
1250,----5-7,20:05,19:57,19:47,--:--,--:--,--:--,19:08,--:--,--:--,--:--,18:28,18:15
0672,1234567,20:10,20:02,19:51,19:38,19:25,--:--,19:00,--:--,--:--,18:32,18:13,18:00
0161,1234567,20:20,20:31,20:39,--:--,--:--,--:--,21:20,--:--,--:--,--:--,--:--,22:05
0687,1234567,20:35,20:46,20:55,21:10,21:22,--:--,21:48,--:--,--:--,22:14,22:33,22:45
1257,----5-7,20:40,20:51,20:59,--:--,--:--,--:--,21:40,--:--,--:--,--:--,22:18,22:30
0152,1234567,20:40,20:31,20:21,--:--,--:--,--:--,19:39,--:--,--:--,--:--,--:--,18:55
0676,------7,20:45,20:36,20:25,20:11,19:57,--:--,19:32,--:--,--:--,19:08,18:48,18:35
0850,1234567,20:50,20:42,20:32,20:20,20:08,19:56,19:36,19:24,19:12,19:00,18:41,18:25
1326,------7,20:55,20:47,--:--,20:27,--:--,--:--,19:53,19:41,19:31,19:19,18:58,18:45
0861,1234567,21:00,21:11,21:19,21:34,21:47,21:58,22:17,22:30,22:41,22:55,23:13,23:25
1254,----5-7,21:05,20:57,20:47,--:--,--:--,--:--,20:08,--:--,--:--,--:--,19:28,19:15
0678,1234567,21:10,21:02,20:51,20:38,20:25,--:--,20:00,--:--,--:--,19:32,19:13,19:00
0165,1234567,21:20,21:31,21:39,--:--,--:--,--:--,22:20,--:--,--:--,--:--,--:--,23:05
0693,1234567,21:30,21:41,21:50,22:05,22:17,--:--,22:43,--:--,--:--,23:09,23:28,23:40
0156,1234567,21:40,21:31,21:21,--:--,--:--,--:--,20:39,--:--,--:--,--:--,--:--,19:55
0333,1234567,21:45,21:56,--:--,22:15,--:--,--:--,22:49,23:01,23:12,23:24,23:42,23:55
1682,------7,21:45,21:36,21:25,21:11,20:57,--:--,20:32,--:--,--:--,20:08,19:48,19:35
0854,1234567,21:50,21:42,21:32,21:20,21:08,20:56,20:36,20:24,20:12,20:00,19:41,19:25
1328,------7,21:55,21:47,--:--,21:27,--:--,--:--,20:53,20:41,20:31,20:19,19:58,19:45
0295,1234567,22:05,22:16,--:--,22:35,--:--,--:--,23:07,--:--,--:--,23:30,23:48,23:59
1258,------7,22:05,21:57,21:47,--:--,--:--,--:--,21:08,--:--,--:--,--:--,20:28,20:15
0684,1234567,22:10,22:02,21:51,21:38,21:25,--:--,21:00,--:--,--:--,20:32,20:13,20:00
0565,1234567,22:15,22:26,22:35,22:48,23:00,23:12,23:29,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0160,1234567,22:40,22:31,22:21,--:--,--:--,--:--,21:39,--:--,--:--,--:--,--:--,20:55
1688,------7,22:45,22:36,22:25,22:11,21:57,--:--,21:32,--:--,--:--,21:08,20:48,20:35
0567,1234567,22:50,23:00,23:08,23:21,23:32,23:43,23:59,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0858,1234567,22:50,22:42,22:32,22:20,22:08,21:56,21:36,21:24,21:12,21:00,20:41,20:25
1330,------7,22:55,22:47,--:--,22:27,--:--,--:--,21:54,21:42,21:31,21:19,20:58,20:45
0690,1234567,23:15,23:07,22:56,22:43,22:30,--:--,22:05,--:--,--:--,21:37,21:18,21:05
0862,1234567,23:55,23:47,23:37,23:25,23:12,23:00,22:40,22:28,22:16,22:03,21:44,21:30
0294,1234567,23:59,23:52,23:42,--:--,--:--,--:--,23:03,--:--,--:--,--:--,22:23,22:10
0696,1234567,xxxxx,23:59,23:52,23:40,23:27,--:--,22:59,--:--,--:--,22:32,22:11,21:55
0598,1234567,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx,23:59,23:49,23:39,23:27,23:08,22:55
